"תאריך","משתנה","תל-אביב חוף 03/2005-11/2023"
"02/01/2022","כמות הגשם היומית (מ""מ)","11.7"
"02/01/2022","קוד גשם (קוד)","0"
"03/01/2022","כמות הגשם היומית (מ""מ)","1.3"
"03/01/2022","קוד גשם (קוד)","0"
"13/01/2022","כמות הגשם היומית (מ""מ)","12.7"
"13/01/2022","קוד גשם (קוד)","0"
"14/01/2022","כמות הגשם היומית (מ""מ)","33.3"
"14/01/2022","קוד גשם (קוד)","0"
"15/01/2022","כמות הגשם היומית (מ""מ)","40.4"
"15/01/2022","קוד גשם (קוד)","0"
"16/01/2022","כמות הגשם היומית (מ""מ)","7.3"
"16/01/2022","קוד גשם (קוד)","0"
"18/01/2022","כמות הגשם היומית (מ""מ)","9.1"
"18/01/2022","קוד גשם (קוד)","0"
"19/01/2022","כמות הגשם היומית (מ""מ)","1.8"
"19/01/2022","קוד גשם (קוד)","0"
"23/01/2022","כמות הגשם היומית (מ""מ)","27.9"
"23/01/2022","קוד גשם (קוד)","0"
"24/01/2022","כמות הגשם היומית (מ""מ)","4"
"24/01/2022","קוד גשם (קוד)","0"
"26/01/2022","כמות הגשם היומית (מ""מ)","21"
"26/01/2022","קוד גשם (קוד)","0"
"27/01/2022","כמות הגשם היומית (מ""מ)","23.6"
"27/01/2022","קוד גשם (קוד)","0"
"28/01/2022","כמות הגשם היומית (מ""מ)","30.4"
"28/01/2022","קוד גשם (קוד)","0"
"29/01/2022","כמות הגשם היומית (מ""מ)","1.7"
"29/01/2022","קוד גשם (קוד)","0"
"31/01/2022","כמות הגשם היומית (מ""מ)","1.9"
"31/01/2022","קוד גשם (קוד)","0"
"01/02/2022","כמות הגשם היומית (מ""מ)","0.6"
"01/02/2022","קוד גשם (קוד)","0"
"04/02/2022","כמות הגשם היומית (מ""מ)","6.5"
"04/02/2022","קוד גשם (קוד)","0"
"05/02/2022","כמות הגשם היומית (מ""מ)","2.8"
"05/02/2022","קוד גשם (קוד)","0"
"06/02/2022","כמות הגשם היומית (מ""מ)","0.3"
"06/02/2022","קוד גשם (קוד)","0"
"09/02/2022","כמות הגשם היומית (מ""מ)","19.6"
"09/02/2022","קוד גשם (קוד)","0"
"10/02/2022","כמות הגשם היומית (מ""מ)","4.1"
"10/02/2022","קוד גשם (קוד)","0"
"18/02/2022","כמות הגשם היומית (מ""מ)","0.2"
"18/02/2022","קוד גשם (קוד)","0"
"19/02/2022","כמות הגשם היומית (מ""מ)","0.7"
"19/02/2022","קוד גשם (קוד)","0"
"24/02/2022","כמות הגשם היומית (מ""מ)","0.4"
"24/02/2022","קוד גשם (קוד)","0"
"25/02/2022","כמות הגשם היומית (מ""מ)","6.6"
"25/02/2022","קוד גשם (קוד)","0"
"26/02/2022","כמות הגשם היומית (מ""מ)","1.8"
"26/02/2022","קוד גשם (קוד)","0"
"02/03/2022","כמות הגשם היומית (מ""מ)","0.1"
"02/03/2022","קוד גשם (קוד)","0"
"03/03/2022","כמות הגשם היומית (מ""מ)","5.9"
"03/03/2022","קוד גשם (קוד)","0"
"08/03/2022","כמות הגשם היומית (מ""מ)","2.1"
"08/03/2022","קוד גשם (קוד)","0"
"09/03/2022","כמות הגשם היומית (מ""מ)","0.1"
"09/03/2022","קוד גשם (קוד)","0"
"10/03/2022","כמות הגשם היומית (מ""מ)","3.7"
"10/03/2022","קוד גשם (קוד)","0"
"11/03/2022","כמות הגשם היומית (מ""מ)","2.7"
"11/03/2022","קוד גשם (קוד)","0"
"13/03/2022","כמות הגשם היומית (מ""מ)","2.3"
"13/03/2022","קוד גשם (קוד)","0"
"14/03/2022","כמות הגשם היומית (מ""מ)","3"
"14/03/2022","קוד גשם (קוד)","0"
"15/03/2022","כמות הגשם היומית (מ""מ)","0.6"
"15/03/2022","קוד גשם (קוד)","0"
"18/03/2022","כמות הגשם היומית (מ""מ)","4.6"
"18/03/2022","קוד גשם (קוד)","0"
"21/03/2022","כמות הגשם היומית (מ""מ)","0.1"
"21/03/2022","קוד גשם (קוד)","0"
"23/03/2022","כמות הגשם היומית (מ""מ)","11.4"
"23/03/2022","קוד גשם (קוד)","0"
"24/03/2022","כמות הגשם היומית (מ""מ)","17.8"
"24/03/2022","קוד גשם (קוד)","0"
"08/10/2022","כמות הגשם היומית (מ""מ)","0.5"
"08/10/2022","קוד גשם (קוד)","0"
"20/10/2022","כמות הגשם היומית (מ""מ)","0.3"
"20/10/2022","קוד גשם (קוד)","0"
"25/10/2022","כמות הגשם היומית (מ""מ)","2.4"
"25/10/2022","קוד גשם (קוד)","0"
"26/10/2022","כמות הגשם היומית (מ""מ)","0.8"
"26/10/2022","קוד גשם (קוד)","0"
"07/11/2022","כמות הגשם היומית (מ""מ)","13.9"
"07/11/2022","קוד גשם (קוד)","0"
"08/11/2022","כמות הגשם היומית (מ""מ)","0.9"
"08/11/2022","קוד גשם (קוד)","0"
"09/11/2022","כמות הגשם היומית (מ""מ)","9.3"
"09/11/2022","קוד גשם (קוד)","0"
"14/11/2022","כמות הגשם היומית (מ""מ)","0.1"
"14/11/2022","קוד גשם (קוד)","0"
"16/11/2022","כמות הגשם היומית (מ""מ)","1.7"
"16/11/2022","קוד גשם (קוד)","0"
"23/11/2022","כמות הגשם היומית (מ""מ)","0.2"
"23/11/2022","קוד גשם (קוד)","0"
"24/11/2022","כמות הגשם היומית (מ""מ)","11.6"
"24/11/2022","קוד גשם (קוד)","0"
"25/11/2022","כמות הגשם היומית (מ""מ)","1.9"
"25/11/2022","קוד גשם (קוד)","0"
"29/11/2022","כמות הגשם היומית (מ""מ)","0.5"
"29/11/2022","קוד גשם (קוד)","0"
"30/11/2022","כמות הגשם היומית (מ""מ)","0.3"
"30/11/2022","קוד גשם (קוד)","0"
"05/12/2022","כמות הגשם היומית (מ""מ)","0.7"
"05/12/2022","קוד גשם (קוד)","0"
"13/12/2022","כמות הגשם היומית (מ""מ)","11.8"
"13/12/2022","קוד גשם (קוד)","0"
"14/12/2022","כמות הגשם היומית (מ""מ)","0.3"
"14/12/2022","קוד גשם (קוד)","0"
"15/12/2022","כמות הגשם היומית (מ""מ)","0.5"
"15/12/2022","קוד גשם (קוד)","0"
"21/12/2022","כמות הגשם היומית (מ""מ)","0.2"
"21/12/2022","קוד גשם (קוד)","0"
"24/12/2022","כמות הגשם היומית (מ""מ)","6.9"
"24/12/2022","קוד גשם (קוד)","0"
"25/12/2022","כמות הגשם היומית (מ""מ)","73.1"
"25/12/2022","קוד גשם (קוד)","0"
"26/12/2022","כמות הגשם היומית (מ""מ)","13.4"
"26/12/2022","קוד גשם (קוד)","0"
"05/01/2023","כמות הגשם היומית (מ""מ)","0.1"
"05/01/2023","קוד גשם (קוד)","0"
"06/01/2023","כמות הגשם היומית (מ""מ)","8.5"
"06/01/2023","קוד גשם (קוד)","0"
"07/01/2023","כמות הגשם היומית (מ""מ)","0.5"
"07/01/2023","קוד גשם (קוד)","0"
"12/01/2023","כמות הגשם היומית (מ""מ)","1.8"
"12/01/2023","קוד גשם (קוד)","0"
"14/01/2023","כמות הגשם היומית (מ""מ)","21.4"
"14/01/2023","קוד גשם (קוד)","0"
"16/01/2023","כמות הגשם היומית (מ""מ)","0.1"
"16/01/2023","קוד גשם (קוד)","0"
"30/01/2023","כמות הגשם היומית (מ""מ)","9"
"30/01/2023","קוד גשם (קוד)","0"
"31/01/2023","כמות הגשם היומית (מ""מ)","36.7"
"31/01/2023","קוד גשם (קוד)","0"
"01/02/2023","כמות הגשם היומית (מ""מ)","10.2"
"01/02/2023","קוד גשם (קוד)","0"
"02/02/2023","כמות הגשם היומית (מ""מ)","7.2"
"02/02/2023","קוד גשם (קוד)","0"
"03/02/2023","כמות הגשם היומית (מ""מ)","21.8"
"03/02/2023","קוד גשם (קוד)","0"
"04/02/2023","כמות הגשם היומית (מ""מ)","0.9"
"04/02/2023","קוד גשם (קוד)","0"
"06/02/2023","כמות הגשם היומית (מ""מ)","18.6"
"06/02/2023","קוד גשם (קוד)","0"
"07/02/2023","כמות הגשם היומית (מ""מ)","11"
"07/02/2023","קוד גשם (קוד)","0"
"08/02/2023","כמות הגשם היומית (מ""מ)","2"
"08/02/2023","קוד גשם (קוד)","0"
"09/02/2023","כמות הגשם היומית (מ""מ)","0.4"
"09/02/2023","קוד גשם (קוד)","0"
"11/02/2023","כמות הגשם היומית (מ""מ)","0.5"
"11/02/2023","קוד גשם (קוד)","0"
"14/02/2023","כמות הגשם היומית (מ""מ)","0.2"
"14/02/2023","קוד גשם (קוד)","0"
"15/02/2023","כמות הגשם היומית (מ""מ)","1.6"
"15/02/2023","קוד גשם (קוד)","0"
"13/03/2023","כמות הגשם היומית (מ""מ)","6.9"
"13/03/2023","קוד גשם (קוד)","0"
"14/03/2023","כמות הגשם היומית (מ""מ)","17.1"
"14/03/2023","קוד גשם (קוד)","0"
"15/03/2023","כמות הגשם היומית (מ""מ)","13.8"
"15/03/2023","קוד גשם (קוד)","0"
"18/03/2023","כמות הגשם היומית (מ""מ)","6.1"
"18/03/2023","קוד גשם (קוד)","0"
"19/03/2023","כמות הגשם היומית (מ""מ)","18.5"
"19/03/2023","קוד גשם (קוד)","0"
"20/03/2023","כמות הגשם היומית (מ""מ)","2.4"
"20/03/2023","קוד גשם (קוד)","0"
"24/03/2023","כמות הגשם היומית (מ""מ)","0.1"
"24/03/2023","קוד גשם (קוד)","0"
"30/03/2023","כמות הגשם היומית (מ""מ)","1"
"30/03/2023","קוד גשם (קוד)","0"
"10/04/2023","כמות הגשם היומית (מ""מ)","2"
"10/04/2023","קוד גשם (קוד)","0"
"11/04/2023","כמות הגשם היומית (מ""מ)","15.5"
"11/04/2023","קוד גשם (קוד)","0"
"12/04/2023","כמות הגשם היומית (מ""מ)","26.1"
"12/04/2023","קוד גשם (קוד)","0"
"13/04/2023","כמות הגשם היומית (מ""מ)","5.9"
"13/04/2023","קוד גשם (קוד)","0"
"08/06/2023","כמות הגשם היומית (מ""מ)","1"
"08/06/2023","קוד גשם (קוד)","0"
"09/06/2023","כמות הגשם היומית (מ""מ)","1"
"09/06/2023","קוד גשם (קוד)","0"
"13/06/2023","כמות הגשם היומית (מ""מ)","2.1"
"13/06/2023","קוד גשם (קוד)","0"
"12/09/2023","כמות הגשם היומית (מ""מ)","5"
"12/09/2023","קוד גשם (קוד)","0"
"13/09/2023","כמות הגשם היומית (מ""מ)","1.3"
"13/09/2023","קוד גשם (קוד)","0"
"01/10/2023","כמות הגשם היומית (מ""מ)","10.8"
"01/10/2023","קוד גשם (קוד)","0"
"02/10/2023","כמות הגשם היומית (מ""מ)","1.2"
"02/10/2023","קוד גשם (קוד)","0"
"14/10/2023","כמות הגשם היומית (מ""מ)","16.3"
"14/10/2023","קוד גשם (קוד)","0"
"15/10/2023","כמות הגשם היומית (מ""מ)","8.1"
"15/10/2023","קוד גשם (קוד)","0"
"16/10/2023","כמות הגשם היומית (מ""מ)","0.5"
"16/10/2023","קוד גשם (קוד)","0"
"14/11/2023","כמות הגשם היומית (מ""מ)","7.9"
"14/11/2023","קוד גשם (קוד)","0"
"19/11/2023","כמות הגשם היומית (מ""מ)","71"
"19/11/2023","קוד גשם (קוד)","0"
"20/11/2023","כמות הגשם היומית (מ""מ)","0.2"
"20/11/2023","קוד גשם (קוד)","0"
"26/11/2023","כמות הגשם היומית (מ""מ)","2.6"
"26/11/2023","קוד גשם (קוד)","0"
"27/11/2023","כמות הגשם היומית (מ""מ)","3.5"
"27/11/2023","קוד גשם (קוד)","0"