"תחנה","תאריך","כמות הגשם היומית (מ""מ)","קוד גשם (קוד)"
"תל-אביב חוף 03/2005-11/2023","02/01/2022","11.7","0"
"תל-אביב חוף 03/2005-11/2023","03/01/2022","1.3","0"
"תל-אביב חוף 03/2005-11/2023","13/01/2022","12.7","0"
"תל-אביב חוף 03/2005-11/2023","14/01/2022","33.3","0"
"תל-אביב חוף 03/2005-11/2023","15/01/2022","40.4","0"
"תל-אביב חוף 03/2005-11/2023","16/01/2022","7.3","0"
"תל-אביב חוף 03/2005-11/2023","18/01/2022","9.1","0"
"תל-אביב חוף 03/2005-11/2023","19/01/2022","1.8","0"
"תל-אביב חוף 03/2005-11/2023","23/01/2022","27.9","0"
"תל-אביב חוף 03/2005-11/2023","24/01/2022","4","0"
"תל-אביב חוף 03/2005-11/2023","26/01/2022","21","0"
"תל-אביב חוף 03/2005-11/2023","27/01/2022","23.6","0"
"תל-אביב חוף 03/2005-11/2023","28/01/2022","30.4","0"
"תל-אביב חוף 03/2005-11/2023","29/01/2022","1.7","0"
"תל-אביב חוף 03/2005-11/2023","31/01/2022","1.9","0"
"תל-אביב חוף 03/2005-11/2023","01/02/2022","0.6","0"
"תל-אביב חוף 03/2005-11/2023","04/02/2022","6.5","0"
"תל-אביב חוף 03/2005-11/2023","05/02/2022","2.8","0"
"תל-אביב חוף 03/2005-11/2023","06/02/2022","0.3","0"
"תל-אביב חוף 03/2005-11/2023","09/02/2022","19.6","0"
"תל-אביב חוף 03/2005-11/2023","10/02/2022","4.1","0"
"תל-אביב חוף 03/2005-11/2023","18/02/2022","0.2","0"
"תל-אביב חוף 03/2005-11/2023","19/02/2022","0.7","0"
"תל-אביב חוף 03/2005-11/2023","24/02/2022","0.4","0"
"תל-אביב חוף 03/2005-11/2023","25/02/2022","6.6","0"
"תל-אביב חוף 03/2005-11/2023","26/02/2022","1.8","0"
"תל-אביב חוף 03/2005-11/2023","02/03/2022","0.1","0"
"תל-אביב חוף 03/2005-11/2023","03/03/2022","5.9","0"
"תל-אביב חוף 03/2005-11/2023","08/03/2022","2.1","0"
"תל-אביב חוף 03/2005-11/2023","09/03/2022","0.1","0"
"תל-אביב חוף 03/2005-11/2023","10/03/2022","3.7","0"
"תל-אביב חוף 03/2005-11/2023","11/03/2022","2.7","0"
"תל-אביב חוף 03/2005-11/2023","13/03/2022","2.3","0"
"תל-אביב חוף 03/2005-11/2023","14/03/2022","3","0"
"תל-אביב חוף 03/2005-11/2023","15/03/2022","0.6","0"
"תל-אביב חוף 03/2005-11/2023","18/03/2022","4.6","0"
"תל-אביב חוף 03/2005-11/2023","21/03/2022","0.1","0"
"תל-אביב חוף 03/2005-11/2023","23/03/2022","11.4","0"
"תל-אביב חוף 03/2005-11/2023","24/03/2022","17.8","0"
"תל-אביב חוף 03/2005-11/2023","08/10/2022","0.5","0"
"תל-אביב חוף 03/2005-11/2023","20/10/2022","0.3","0"
"תל-אביב חוף 03/2005-11/2023","25/10/2022","2.4","0"
"תל-אביב חוף 03/2005-11/2023","26/10/2022","0.8","0"
"תל-אביב חוף 03/2005-11/2023","07/11/2022","13.9","0"
"תל-אביב חוף 03/2005-11/2023","08/11/2022","0.9","0"
"תל-אביב חוף 03/2005-11/2023","09/11/2022","9.3","0"
"תל-אביב חוף 03/2005-11/2023","14/11/2022","0.1","0"
"תל-אביב חוף 03/2005-11/2023","16/11/2022","1.7","0"
"תל-אביב חוף 03/2005-11/2023","23/11/2022","0.2","0"
"תל-אביב חוף 03/2005-11/2023","24/11/2022","11.6","0"
"תל-אביב חוף 03/2005-11/2023","25/11/2022","1.9","0"
"תל-אביב חוף 03/2005-11/2023","29/11/2022","0.5","0"
"תל-אביב חוף 03/2005-11/2023","30/11/2022","0.3","0"
"תל-אביב חוף 03/2005-11/2023","05/12/2022","0.7","0"
"תל-אביב חוף 03/2005-11/2023","13/12/2022","11.8","0"
"תל-אביב חוף 03/2005-11/2023","14/12/2022","0.3","0"
"תל-אביב חוף 03/2005-11/2023","15/12/2022","0.5","0"
"תל-אביב חוף 03/2005-11/2023","21/12/2022","0.2","0"
"תל-אביב חוף 03/2005-11/2023","24/12/2022","6.9","0"
"תל-אביב חוף 03/2005-11/2023","25/12/2022","73.1","0"
"תל-אביב חוף 03/2005-11/2023","26/12/2022","13.4","0"